"mbti","destination","description","image"
"INTJ","스위스 루체른","계획이 여행의 전부. 여행을 떠나기 전부터 이미 가 본 사람처럼 말하고 행동하는 타입. 여행지에 대한 전반적인 파악은 이미 끝난 상태. 남은 것은 오로지 실행뿐. 그들에게 여행은 계획을 증명하는 시간. 실패를 배제하며 희열을 느낀다. 계획 없이 흐르는 대로 여행해야 하는 곳은 INTJ에게 감옥이나 다름없다. 대중교통량이 많으며 시간 약속 잘 지키기로 정평이 난 스위스 루체른 정도면 충분히 만족할 것.
 ","https://d3b39vpyptsv01.cloudfront.net/photo/1/2/d3dd006b85511ce2f41d8bc962d9fe87.jpg"
"INTP","캄보디아 앙코르와트","알아 두면 쓸데없고 번거로운 잡학박사. 모든 일정에 효율성을 따진다. 대체로 비판적인 태도인데 딱히 계획이 있는 건 아니고, 여행지에 대한 방대한 정보를 가지고 있지만 거의 몰라도 될 것들이다. 무슨 할 말이 그렇게 많은지 혼자 주저리주저리 떠들며 지식을 자랑하곤 한다. 개똥도 약에 쓴다고, 캄보디아 앙코르와트 같은 곳이라면 나름의 쓸모가 있겠다. INTP가 개똥 같다는 뜻은 아니고, 하여튼 가이드가 따로 없어도 될 정도, 그런데 이제 거기에 지식 자랑을 곁들인.
 ","https://img-kyowontour.kyowontour.com/hp/202212/20221216130016968qdakpzhgvvmfzoo.jpg"
"INFJ","영국 요크","너의 행복이 곧 나의 행복, 우리 사회는 INFJ를 이타주의자라고 부르기로 했다. 본인보단 상대를 위해 여행을 계획하는 타입. 뭘 먹고 싶고, 뭘 하고 싶고, 심지어 무엇을 듣고 싶은지까지 신경 쓴다. 그렇다고 시끌벅적 소란스러운 걸 좋아하는 건 절대 아니다. 아무 계획도 없는 주말에 가장 행복한 타입. 방전되었을 때는 충분히 충전시간을 가질 것. 고즈넉한 영국 요크 같은 곳에서.
 ","https://a.cdn-hotels.com/gdcs/production51/d253/57affee0-58ef-11e8-b0ec-0242ac11000c.jpg"
"INFP","그리스 산토리니","말을 너무 쉽게 믿지 말자. 여행을 계획할 때 무조건 ‘나는 안 가’라고 단언하는 부류다. 막상 여행을 가면 누구보다 즐기는 얄미운 타입. 돌아오는 비행기 안에서는 너무 좋았다며 다음 여행지를 검색한다. 다음번에는 순순히 따라올지, 글쎄. 그나마 그리스 산토리니라면 설득이 수월할지도. INFP는 대체로 낭만을 1순위로 두는 여행자.
 ","https://d3b39vpyptsv01.cloudfront.net/photo/1/2/0f4865e165dbd8a7c636549a79f7f678.jpg"
"ISTJ","태국 코쿳","묵묵하면서도 꽉꽉 막힌 원칙주의 여행을 추구한다. 시간 약속을 칼같이 지키며 피곤하거나 힘들어도 절대 티 내지 않는다. 우유부단한 여행을 제일 싫어해 비가 내려도 기어코 놀이동산을 가고야 마는 타입. 태국 코쿳을 추천한다. 해가 쨍쨍할 때는 정말 뜨겁긴 하지만 찬란하고, 이따금 비가 억수로 쏟아질 때는 축축하지만 청록빛 기운이 진해진다. 조금의 역경은 있지만 결국 견뎌 내면 좋을 곳.
 ","https://cdn.imweb.me/thumbnail/20230529/4d2d1688daf45.png"
"ISTP","캐나다 알버타","극한의 상황에서 희열을 느낀다. 평소에는 내성적이고 사람 순한 웃음을 짓는데 여행에서만큼은 베어 그릴스 저리 가라다. 적당한 긴장과 스릴을 즐길 줄 아는 타입. 캐나다 알버타가 안성맞춤이겠다. 밴프국립공원에서 카누를 타고, 텐트를 짓고, 불 피워 밥하고. 그럴 일은 없겠지만 가끔 늑대와 곰이 텐트를 툭툭 쳐대면, 이런 게 여행의 묘미 아니겠냐며 즐거워할 타입.
 ","https://img.freepik.com/premium-photo/banff-national-park-alberta-canada_729113-1052.jpg"
"ISFJ","스페인 바르셀로나","몸에서 사리가 나올 것 같다. 여행 중 친구끼리 싸움이 나면 제일 먼저 말리고 들 타입. 여행은 항상 즐겁고 행복해야만 한다. 성격이 워낙 꼼꼼해 모두를 만족시킬 수 있는 계획을 들고 온다. 스페인 바르셀로나를 추천한다. 지지고 볶고 싸우다가도 타파스에 술 한 잔이면 화해할 수 있다. 도시 분위기가 평화로워 ISFJ가 애쓰지 않아도 싸움이 알아서 해결되는 곳.
 ","https://www.hihoneymoon.co.kr/files/editor/2018/04/1234d059971e9aba87e8e2301ab7f25f.jpg"
"ISFP","아이슬란드 레이캬비크","낭만을 곁들인 콜럼버스형. 여행에 대한 로망이 가득가득. ISFP에게 여행이란, 버킷리스트를 현실화시키는 과정. 평범한 여행은 싫다. 여행계의 신밧드, 모험과 환상이 넘치는 비현실적인 세계로의 여행을 고집한다. 아이슬란드 레이캬비크 오로라 정도는 봐야 여행이지.
 ","https://d2ur7st6jjikze.cloudfront.net/offer_photos/41218/265069_large_1537172372.jpg?1537172372"
"ENTJ","페루 마추픽추","어디선가 누구에게 무슨 일이 생기면, 짱가형 여행자. ENTJ의 기지는 여행 시작 전부터 발휘된다. 그 누구도 총대를 메 달라고 부탁한 적 없지만, 자연스럽게 ENTJ가 책임 반장이 되어 있다. 누가 항공 예약을 담당할지, 숙소를 알아볼지 귀신같이 역할 분배를 끝낸다. 문제해결 능력도 타의 추종을 불허한다. ENTJ와 함께라면 불가능은 없으니, 선뜻 나서기 힘든 여행지가 좋겠다. 페루 마추픽추 같은 곳. ENTJ와 함께면 패키지급 여행 가능.
 ","https://www.hotelscombined.co.kr/rimg/dimg/76/55/6f70239a-lm-59590-172ee9a8c35.jpg?width=1366&height=768&xhint=2359&yhint=1546&crop=true"
"ENTP","프랑스 파리","논쟁을 즐기는 변론가형 여행자. 지적 여행에 대한 욕구가 엄청나다. 논쟁을 위해서는 지성이 뒷받침해 줘야 하는데, ENTP는 이러한 이유로 유익이 되는 여행을 선호하는 편. 다녀와서 한 줄의 지식이라도 남는 여행. 거리 곳곳 지식 거리가 많은 프랑스 파리를 추천. ENTP가 루브르 박물관이라도 둘러보는 날, 동행이라면 미리미리 앉아 있을 만한 주변 카페를 탐색하기. 
 ","https://images.france.fr/zeaejvyq9bhj/2iAa84874gFOOKxspo7ssu/aa855e94895b7f1192c949bf8ef34fa5/kr_france_fr____________________-018.png?w=1120&h=490&q=70&fl=progressive&fit=fill"
"ENFJ","스위스 그린델발트","ENFJ의 여행 가방은 남들의 2배 크기. 혹시라도 동행자가 칫솔을 안 챙겼을까 싶어 하나, 아니 두 개 더 챙기는 타입. 평소에는 참 좋은데 급한 일정이 생겨 빠르게 이동해야 할 때 걸림돌이 된다. 소가 풀이나 씹고 아무 일도 일어나지 않을 것만 같은 곳. 스위스 그린델발트가 좋겠다. 평화로운 곳에서의 ENFJ는 친절한 신사 느낌이다. 바쁘게 돌아다녀야 하는 여행지에서 ENFJ는 그야말로 짐. 
 ","https://mblogthumb-phinf.pstatic.net/MjAyMDAyMTdfMTE5/MDAxNTgxOTUxMTc1ODc4.-0lgMEuf7BoLU4DS7LioibkdtGSbHAe_4ImT7SbLcDIg.zdFoKpOxSXW9nkwogAPAOvwWKpSTf95p89xx5nLXad8g.JPEG.chansoondae/%EB%AA%85%EB%8B%B9_%EA%B7%B8%EB%A6%B0%EB%8D%B8%EB%B0%9C%ED%8A%B8_(1).JPG?type=w800"
"ENFP","아프리카 케냐 나이로비","멀리서도 눈에 띄는 존재감 갑. 요즘 말로 인싸 여행자. 호탕한 웃음소리, 넘치는 리액션. ENFP와 여행하면 가만있어도 신난다. 무계획 여행도 상관없다. 아이디어 뱅크 ENFP는 뭐든 재밌게 만들기 때문이다. 즐겁고 신나는데 오후 2시를 기점으로 기가 빨리기 시작한다. 아프리카 케냐 나이로비를 추천한다. 낮 동안은 껑충거리는 기린을 보며 쉬고, 밤이 되면 모닥불 피워 놓고 원맨 토크쇼 개최 예정.
 ","https://i.namu.wiki/i/NPSf66xxhil2Wg4HhFSux28fhKSjZqIRkzzl2zEK2_bjbUUZBj5SjHieT0VaVN_lZLts6SEnIL2TpF1C7Dnleg.webp"
"ESTJ","일본 도쿄","ESTJ에겐 여행도 성취의 일부다. 계획대로 진행하는 것 자체에 행복을 느끼는 여행자. 호불호가 명확해 고민 따윈 없다. 가려던 카페가 문 닫았다면 1분 정도 화를 낸 다음, 빠르게 다음 목적지를 정해 이동한다. 일본 도쿄를 추천한다. 이동 범위가 짧고, 여행지가 다닥다닥 붙어 있어 다음 행선지로 스피드한 이동이 가능하다. 촘촘한 거미줄 같은 지하철은 ESTJ에게 최적의 조건.
 ","https://ko.skyticket.com/guide/wp-content/uploads/2021/07/shutterstock_667925704-2fff.jpg"
"ESTP","대한민국 제주","하고 싶은 건 반드시 해야 한다. 그렇다고 어떤 계획이 있는 건 또 아니다. 느낌 따라 여행한다. 이를테면 ‘오늘은 살짝 센치한 기분이어서 카페에 안 가면 죽을 것 같아’라든지. 보통 단체 여행시 싸움의 원인이 되기도 한다. 여행 계획을 당일 아침 바꿀 확률이 99.9%. 다만 바꾸면 바꾸는 대로 완벽한 여행이 되긴 한다. 비행기 예매? 그딴 거 필요 없다. 느낌 왔을 때 바로 떠날 수 있는 곳, 대한민국 제주. 부담 없이 맘대로.
 ","https://img.hankyung.com/photo/202310/ZN.34141478.1.jpg"
"ESFJ","이탈리아 로마","여행을 광고하는 유형. 여행을 마음먹은 순간부터 되돌아오는 비행기 상황까지 모든 과정을 SNS를 통해 생중계한다. 친구의 친구의 친구까지도 알 정도. ‘맛있다, 예쁘다’를 연발하며 모든 순간 기뻐한다. 어딜 찍어도 성공적인 이탈리아 로마를 추천. 맛과 멋 그리고 자랑, 셋 다 잡을 수 있음.
 ","https://a.cdn-hotels.com/gdcs/production40/d811/5e89ad90-8f10-11e8-b6b0-0242ac110007.jpg"
"ESFP","미국 뉴욕","여행지에서 친구를 한 트럭 사귀어 온다. 말은 또 어찌나 재밌게 잘하는지, ESFP와 수다를 떨다 보면 긴 비행시간도 순식간이다. 딱히 고집하는 여행지는 없고 친구들이 원하는 여행지가 곧 내가 가고 싶은 곳. 같이 가는 사람이 더 중요한 스타일. 그나마 전 세계에서 가장 사교적인 도시로 꼽힌 미국 뉴욕을 추천. 센트럴 파크에서 러닝 하다 사귄 친구와의 약속, 복작복작한 소호의 어느 레스토랑. 상상만으로도 성공적.  
 ","https://i.namu.wiki/i/mhrfwdvG183XHW_hF7maCS8UR3SeX8PZ8kpNBzbFhGEKrq9KrrF8Ehi1S3E-UeZh8ow23miBm9-jDC-3uOf4Og.webp"
